seed=19
gen=0	fitness=2.464348779298	position=[-1.016939, 1.694946]
gen=1	fitness=0.302026617589	position=[3.175385, 0.429431]
gen=2	fitness=0.021223635425	position=[3.419685, 0.579139]
gen=3	fitness=0.016766641623	position=[2.742433, 0.416674]
gen=4	fitness=0.007287187725	position=[3.046081, 0.494126]
gen=5	fitness=0.007287187725	position=[3.046081, 0.494126]
gen=6	fitness=0.002526332058	position=[2.886754, 0.467447]
gen=7	fitness=0.002526332058	position=[2.886754, 0.467447]
gen=8	fitness=0.002369092302	position=[2.929342, 0.473425]
gen=9	fitness=0.001844882781	position=[2.957745, 0.480853]
gen=10	fitness=0.001398211267	position=[2.925257, 0.476347]
gen=11	fitness=0.001398211267	position=[2.925257, 0.476347]
gen=12	fitness=0.000040353213	position=[3.012846, 0.502387]
gen=13	fitness=0.000040353213	position=[3.012846, 0.502387]
gen=14	fitness=0.000040353213	position=[3.012846, 0.502387]
gen=15	fitness=0.000040353213	position=[3.012846, 0.502387]
gen=16	fitness=0.000012095863	position=[3.001741, 0.499722]
gen=17	fitness=0.000012095863	position=[3.001741, 0.499722]
gen=18	fitness=0.000002737446	position=[2.997709, 0.499144]
gen=19	fitness=0.000002737446	position=[2.997709, 0.499144]
gen=20	fitness=0.000002737446	position=[2.997709, 0.499144]
gen=21	fitness=0.000002552273	position=[3.000579, 0.500472]
gen=22	fitness=0.000002179709	position=[3.001138, 0.500574]
gen=23	fitness=0.000002179709	position=[3.001138, 0.500574]
gen=24	fitness=0.000000539151	position=[2.999006, 0.499625]
gen=25	fitness=0.000000387679	position=[2.999124, 0.499890]
gen=26	fitness=0.000000031225	position=[2.999558, 0.499890]
gen=27	fitness=0.000000031225	position=[2.999558, 0.499890]
gen=28	fitness=0.000000015295	position=[2.999691, 0.499925]
gen=29	fitness=0.000000015295	position=[2.999691, 0.499925]
gen=30	fitness=0.000000015295	position=[2.999691, 0.499925]
gen=31	fitness=0.000000005773	position=[3.000041, 0.500026]
gen=32	fitness=0.000000002535	position=[2.999903, 0.499983]
gen=33	fitness=0.000000002535	position=[2.999903, 0.499983]
gen=34	fitness=0.000000000837	position=[2.999932, 0.499981]
gen=35	fitness=0.000000000224	position=[2.999968, 0.499990]
gen=36	fitness=0.000000000224	position=[2.999968, 0.499990]
gen=37	fitness=0.000000000017	position=[2.999991, 0.499997]
gen=38	fitness=0.000000000010	position=[3.000002, 0.500001]
gen=39	fitness=0.000000000010	position=[3.000002, 0.500001]
gen=40	fitness=0.000000000010	position=[3.000002, 0.500001]
gen=41	fitness=0.000000000010	position=[3.000002, 0.500001]
gen=42	fitness=0.000000000010	position=[3.000002, 0.500001]
gen=43	fitness=0.000000000008	position=[2.999997, 0.500000]
gen=44	fitness=0.000000000007	position=[3.000001, 0.500000]
gen=45	fitness=0.000000000001	position=[3.000000, 0.500000]
gen=46	fitness=0.000000000001	position=[3.000000, 0.500000]
gen=47	fitness=0.000000000000	position=[2.999999, 0.500000]
gen=48	fitness=0.000000000000	position=[2.999999, 0.500000]
gen=49	fitness=0.000000000000	position=[2.999999, 0.500000]
gen=50	fitness=0.000000000000	position=[3.000001, 0.500000]
gen=51	fitness=0.000000000000	position=[3.000001, 0.500000]
gen=52	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=53	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=54	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=55	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=56	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=57	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=58	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=59	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=60	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=61	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=62	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=63	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=64	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=65	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=66	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=67	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=68	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=69	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=70	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=71	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=72	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=73	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=74	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=75	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=76	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=77	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=78	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=79	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=80	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=81	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=82	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=83	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=84	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=85	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=86	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=87	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=88	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=89	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=90	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=91	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=92	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=93	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=94	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=95	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=96	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=97	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=98	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=99	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=100	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=101	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=102	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=103	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=104	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=105	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=106	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=107	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=108	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=109	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=110	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=111	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=112	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=113	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=114	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=115	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=116	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=117	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=118	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=119	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=120	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=121	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=122	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=123	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=124	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=125	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=126	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=127	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=128	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=129	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=130	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=131	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=132	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=133	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=134	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=135	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=136	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=137	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=138	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=139	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=140	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=141	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=142	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=143	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=144	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=145	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=146	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=147	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=148	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=149	fitness=0.000000000000	position=[3.000000, 0.500000]
gen=150	fitness=0.000000000000	position=[3.000000, 0.500000]
